"longitude","latitude","ndvi"
-51.1173873873874,-29.9399099099099,0.6041
-51.1173873873874,-29.9173873873874,0.4149
-51.1173873873874,-29.8948648648649,0.7658
-51.1173873873874,-29.8723423423423,0.5538
-51.1173873873874,-29.8498198198198,0.3628
-51.1173873873874,-29.8272972972973,0.8348
-51.1173873873874,-29.8047747747748,0.721
-51.0948648648649,-30.2552252252252,-0.3
-51.0948648648649,-30.2327027027027,0.5853
-51.0948648648649,-30.2101801801802,0.7482
-51.0948648648649,-30.1876576576577,0.7421
-51.0948648648649,-30.1651351351351,0.8477
-51.0948648648649,-30.1426126126126,0.8004
-51.0948648648649,-30.1200900900901,0.7705
-51.0948648648649,-30.0975675675676,0.8374
-51.0948648648649,-30.075045045045,0.4644
-51.0948648648649,-30.0525225225225,0.3822
-51.0948648648649,-30.03,0.5836
-51.0948648648649,-30.0074774774775,0.4173
-51.0948648648649,-29.984954954955,0.5486
-51.0948648648649,-29.9624324324324,0.5863
-51.0948648648649,-29.9399099099099,0.3313
-51.0948648648649,-29.9173873873874,0.2799
-51.0948648648649,-29.8948648648649,0.6599
-51.0948648648649,-29.8723423423423,0.4762
-51.0948648648649,-29.8498198198198,0.7475
-51.0948648648649,-29.8272972972973,0.6776
-51.0948648648649,-29.8047747747748,0.6479
-51.0723423423423,-30.2552252252252,-0.1829
-51.0723423423423,-30.2327027027027,0.6808
-51.0723423423423,-30.2101801801802,0.7162
-51.0723423423423,-30.1876576576577,0.8548
-51.0723423423423,-30.1651351351351,0.7579
-51.0723423423423,-30.1426126126126,0.7722
-51.0723423423423,-30.1200900900901,0.5172
-51.0723423423423,-30.0975675675676,0.6383
-51.0723423423423,-30.075045045045,0.7292
-51.0723423423423,-30.0525225225225,0.2889
-51.0723423423423,-30.03,0.3939
-51.0723423423423,-30.0074774774775,0.3887
-51.0723423423423,-29.984954954955,0.5487
-51.0723423423423,-29.9624324324324,0.6643
-51.0723423423423,-29.9399099099099,0.687
-51.0723423423423,-29.9173873873874,0.358
-51.0723423423423,-29.8948648648649,0.3407
-51.0723423423423,-29.8723423423423,0.6958
-51.0723423423423,-29.8498198198198,0.6558
-51.0723423423423,-29.8272972972973,0.7001
-51.0723423423423,-29.8047747747748,0.8222
-51.0498198198198,-30.2552252252252,0.6786
-51.0498198198198,-30.2327027027027,0.6473
-51.0498198198198,-30.2101801801802,0.8158
-51.0498198198198,-30.1876576576577,0.8787
-51.0498198198198,-30.1651351351351,0.7371
-51.0498198198198,-30.1426126126126,0.7032
-51.0498198198198,-30.1200900900901,0.8431
-51.0498198198198,-30.0975675675676,0.698
-51.0498198198198,-30.075045045045,0.5206
-51.0498198198198,-30.0525225225225,0.7034
-51.0498198198198,-30.03,0.519
-51.0498198198198,-30.0074774774775,0.5101
-51.0498198198198,-29.984954954955,0.65
-51.0498198198198,-29.9624324324324,0.614
-51.0498198198198,-29.9399099099099,0.3799
-51.0498198198198,-29.9173873873874,0.3872
-51.0498198198198,-29.8948648648649,0.6057
-51.0498198198198,-29.8723423423423,0.6208
-51.0498198198198,-29.8498198198198,0.6522
-51.0498198198198,-29.8272972972973,0.7885
-51.0498198198198,-29.8047747747748,0.6332
-51.0272972972973,-30.2552252252252,0.6774
-51.0272972972973,-30.2327027027027,0.814
-51.0272972972973,-30.2101801801802,0.7172
-51.0272972972973,-30.1876576576577,0.8786
-51.0272972972973,-30.1651351351351,0.78
-51.0272972972973,-30.1426126126126,0.7597
-51.0272972972973,-30.1200900900901,0.7538
-51.0272972972973,-30.0975675675676,0.6515
-51.0272972972973,-30.075045045045,0.6223
-51.0272972972973,-30.0525225225225,0.7945
-51.0272972972973,-30.03,0.7289
-51.0272972972973,-30.0074774774775,0.5935
-51.0272972972973,-29.984954954955,0.5698
-51.0272972972973,-29.9624324324324,0.7749
-51.0272972972973,-29.9399099099099,0.3902
-51.0272972972973,-29.9173873873874,0.5174
-51.0272972972973,-29.8948648648649,0.5198
-51.0272972972973,-29.8723423423423,0.6264
-51.0272972972973,-29.8498198198198,0.7257
-51.0272972972973,-29.8272972972973,0.8177
-51.0272972972973,-29.8047747747748,0.7635
-51.0047747747748,-30.2552252252252,0.6913
-51.0047747747748,-30.2327027027027,0.5851
-51.0047747747748,-30.2101801801802,0.6631
-51.0047747747748,-30.1876576576577,0.7415
-51.0047747747748,-30.1651351351351,0.8301
-51.0047747747748,-30.1426126126126,0.7606
-51.0047747747748,-30.1200900900901,0.6533
-51.0047747747748,-30.0975675675676,0.7041
-51.0047747747748,-30.075045045045,0.8308
-51.0047747747748,-30.0525225225225,0.5955
-51.0047747747748,-30.03,0.6707
-51.0047747747748,-30.0074774774775,0.5177
-51.0047747747748,-29.984954954955,0.5427
-51.0047747747748,-29.9624324324324,0.5532
-51.0047747747748,-29.9399099099099,0.5523
-51.0047747747748,-29.9173873873874,0.8203
-51.0047747747748,-29.8948648648649,0.7995
-51.0047747747748,-29.8723423423423,0.604
-51.0047747747748,-29.8498198198198,0.7108
-51.0047747747748,-29.8272972972973,0.684
-51.0047747747748,-29.8047747747748,0.8314
-51.195045045045,-30.315045045045,-0.3
-51.195045045045,-30.2925225225225,-0.3
-51.195045045045,-30.27,-0.3
-51.195045045045,-30.2474774774775,-0.3
-51.195045045045,-30.224954954955,-0.1583
-51.1725225225225,-30.315045045045,-0.3
-51.1725225225225,-30.2925225225225,-0.3
-51.1725225225225,-30.27,-0.3
-51.1725225225225,-30.2474774774775,-0.3
-51.1725225225225,-30.224954954955,0.6401
-51.15,-30.315045045045,-0.3
-51.15,-30.2925225225225,-0.3
-51.15,-30.27,-0.3
-51.15,-30.2474774774775,0.6434
-51.15,-30.224954954955,0.3253
-51.1274774774775,-30.315045045045,-0.3
-51.1274774774775,-30.2925225225225,-0.3
-51.1274774774775,-30.27,-0.3
-51.1274774774775,-30.2474774774775,0.7042
-51.1274774774775,-30.224954954955,0.6728
-51.104954954955,-30.315045045045,-0.3
-51.104954954955,-30.2925225225225,-0.3
-51.104954954955,-30.27,-0.3
-51.104954954955,-30.2474774774775,0.2296
-51.104954954955,-30.224954954955,0.7662
